Particle_ID,X_Coord,Y_Coord,Z_Coord
44,2.94765e+04,2.94617e+04,7.23055e+01
45,2.94765e+04,2.94604e+04,9.64318e+01
46,2.94765e+04,2.94604e+04,5.67224e+01
47,2.94765e+04,2.94608e+04,5.82315e+01
48,2.94765e+04,2.94614e+04,6.05120e+01
49,2.94765e+04,2.93466e+04,9.80612e+02
50,2.94765e+04,2.94275e+04,9.87875e+02
51,2.94765e+04,2.93680e+04,1.45282e+01
52,2.94765e+04,2.93665e+04,2.95582e+01
53,2.94765e+04,2.93632e+04,4.98408e+01
54,2.94765e+04,2.93325e+04,2.18994e+02
55,2.94765e+04,2.93494e+04,2.38183e+02
56,2.94765e+04,2.93503e+04,2.10768e+02
57,2.94765e+04,2.93652e+04,8.03885e+01
58,2.94765e+04,2.93556e+04,8.93265e+01
59,2.94765e+04,2.93683e+04,8.40333e+01
60,2.94765e+04,2.93250e+04,1.74887e+02
61,2.94765e+04,2.93303e+04,1.95253e+02
62,2.94765e+04,2.93454e+04,1.88858e+02
63,2.94765e+04,2.93455e+04,4.90960e+02
64,2.94765e+04,2.93453e+04,5.28329e+02
65,2.94765e+04,2.93758e+04,5.11318e+02
66,2.94765e+04,2.93251e+04,1.08450e+02
67,2.94765e+04,2.93153e+04,1.11418e+02
68,2.94765e+04,2.93374e+04,1.14744e+02
69,2.94765e+04,2.91988e+04,1.92271e+01
70,2.94765e+04,2.91466e+04,1.03798e+02
71,2.94765e+04,2.90999e+04,1.75248e+02
72,2.94765e+04,2.91696e+04,1.69388e+01
73,2.95904e+04,2.91791e+04,1.73152e+01
74,2.94765e+04,2.90829e+04,1.59915e+02
75,2.94765e+04,2.91904e+04,5.65319e+01
76,2.94765e+04,2.91103e+04,1.84755e+02
77,2.94765e+04,2.92013e+04,9.93706e+00
78,2.94765e+04,2.93445e+04,7.90187e+02
79,2.94765e+04,2.93444e+04,8.27868e+02
80,2.94765e+04,2.93748e+04,8.10146e+02
81,2.94765e+04,2.93458e+04,9.71489e+01
82,2.94765e+04,2.93352e+04,1.03701e+02
83,2.94765e+04,2.93525e+04,1.00153e+02
